7
4
0.0963	0.2076
0.1762	0.1717
0.1224	0.0494
0.0409	0.0853
8
-0.1054	0.2689
0.0365	0.2183
-0.0728	-0.0915
-0.1755	-0.0556
-0.1347	0.0585
-0.1559	0.0650
-0.1299	0.1368
-0.1494	0.1433
4
-0.0208	-0.0366
0.1456	-0.1084
0.0966	-0.1573
-0.0452	-0.0953
4
-0.1348	-0.2299
-0.1218	-0.2005
-0.0957	-0.2119
-0.1087	-0.2413
4
-0.0400	-0.1498
0.0611	-0.1955
-0.0286	-0.2689
-0.0841	-0.2444
6
-0.0113	-0.0171
0.0262	0.0661
0.1942	-0.0089
0.1795	-0.0415
0.1502	-0.0285
0.1290	-0.0774
6
-0.1779	-0.0731
-0.0621	-0.1188
-0.0915	-0.1921
-0.1877	-0.1530
-0.1746	-0.1204
-0.1942	-0.1122
