16
62
-0.2456	0.2674
-0.2374	0.2658
-0.2309	0.2625
-0.2244	0.2576
-0.2195	0.2511
-0.2162	0.2446
-0.2146	0.2380
-0.2130	0.2299
-0.1804	0.2266
-0.1836	0.1989
-0.0874	0.1891
-0.0874	0.1973
-0.0858	0.2038
-0.0825	0.2119
-0.0776	0.2185
-0.0711	0.2234
-0.0646	0.2283
-0.0581	0.2315
-0.0499	0.2331
-0.0418	0.2331
-0.0336	0.2315
-0.0271	0.2283
-0.0206	0.2234
-0.0141	0.2185
-0.0108	0.2119
-0.0075	0.2038
-0.0059	0.1956
-0.0059	0.1875
-0.0059	0.1810
0.0349	0.1761
0.0169	0.0065
-0.0744	0.0163
-0.0728	0.0309
-0.5603	0.0799
-0.5424	0.2609
-0.4935	0.2560
-0.4918	0.2690
-0.4902	0.2755
-0.4869	0.2821
-0.4820	0.2870
-0.4771	0.2918
-0.4723	0.2951
-0.4657	0.2984
-0.4592	0.2984
-0.4527	0.2984
-0.4462	0.2984
-0.4396	0.2951
-0.4331	0.2918
-0.4282	0.2870
-0.4233	0.2821
-0.4217	0.2755
-0.4184	0.2690
-0.4184	0.2625
-0.4201	0.2511
-0.2913	0.2380
-0.2880	0.2446
-0.2847	0.2511
-0.2798	0.2576
-0.2733	0.2625
-0.2668	0.2658
-0.2603	0.2674
-0.2521	0.2690
4
-0.5530	-0.0295
-0.3476	-0.0540
-0.3639	-0.1730
-0.5335	-0.1453
6
0.2550	-0.1041
0.2893	-0.1090
0.2713	-0.2557
0.2029	-0.2459
0.2224	-0.1138
0.2534	-0.1171
4
-0.3013	-0.0512
-0.1888	-0.0691
-0.2100	-0.1963
-0.3225	-0.1784
7
0.4016	0.0832
0.5516	0.0800
0.5467	-0.0211
0.5076	-0.0227
0.5060	-0.0521
0.4815	-0.0521
0.3984	-0.0488
4
0.1278	-0.1028
0.2207	-0.1142
0.2012	-0.2463
0.1099	-0.2349
4
0.1033	0.0441
0.2240	0.0441
0.2240	-0.0587
0.1050	-0.0587
4
0.3488	0.0458
0.3944	0.0442
0.3912	-0.0471
0.3455	-0.0455
6
0.4820	-0.0536
0.5065	-0.0536
0.5603	-0.0569
0.5587	-0.1254
0.4771	-0.1221
0.4804	-0.0846
4
0.3718	0.2352
0.5528	0.2287
0.5495	0.1113
0.3702	0.1162
5
0.4721	-0.1956
0.5569	-0.1973
0.5569	-0.2984
0.4672	-0.2918
0.4672	-0.2772
6
-0.1340	-0.0152
0.0649	-0.0331
0.0519	-0.1587
-0.0459	-0.1505
-0.0492	-0.1750
-0.1470	-0.1652
6
0.3233	-0.1813
0.3510	-0.1845
0.3412	-0.2644
0.2727	-0.2563
0.2907	-0.1095
0.3314	-0.1144
4
0.1006	0.2333
0.2816	0.2317
0.2816	0.0898
0.0990	0.0931
8
0.3777	-0.0817
0.4788	-0.0866
0.4755	-0.1241
0.4706	-0.1942
0.4657	-0.2757
0.3923	-0.2708
0.3940	-0.1991
0.3711	-0.1974
4
0.4773	-0.1237
0.5588	-0.1269
0.5572	-0.1954
0.4724	-0.1938
